fecha;velviento
2003-05-26;2,42
2003-05-27;2,22
2003-05-28;2,18
2003-05-29;2,11
2003-05-30;1,98
2003-05-31;2,96
2003-06-01;3,13
2003-06-02;2,30
2003-06-03;3,47
2003-06-04;4,06
2003-06-05;2,08
2003-06-06;3,70
2003-06-07;4,61
2003-06-08;3,68
2003-06-09;4,75
2003-06-10;4,99
2003-06-11;5,25
2003-06-12;4,53
2003-06-13;2,01
2003-06-14;1,07
2003-06-15;1,54
2003-06-16;1,71
2003-06-17;5,21
2003-06-18;3,24
2003-06-19;2,00
2003-06-20;2,73
2003-06-21;1,98
2003-06-22;1,53
2003-06-23;1,84
2003-06-24;1,79
